lineId,dialogueLineType,toLine,personName,content,eventFore,eventForeArgs,eventMain,eventMainArgs,eventAfter,eventAfterArgs
X001,TitleLine,A002,,梦中\n弃我去者,,,,,,
X002,NarrationLine,X003,？？,“嗨，醒醒。”,BlackOn,0.01,,,CGLoad,"full,Sprites/CG/Train"
X003,NarrationLine,X004,,他很轻地触碰你，好像并不是为了完全叫醒你。,BlackOff,0.5,,,,
X004,NarrationLine,X005,,你的眼皮很沉。,,,,,,
X005,NarrationLine,X006,,他错身从前排的座位和你之间挤过，然后拿上外套，\n你听见布料摩挲的声音。他戴上围巾，外面很冷。,,,,,,
X006,NarrationLine,X007,,而车厢里很暖和。你的身体很沉。你的内心在尖叫，\n必须拦下他，必须，必须。不能让他下车，,,,,,,
X007,NarrationLine,X008,,奇怪，是下车还是上车？你记不清了，因为你反反复复地做这个梦。\n有时他半途下车，有时你去站台送他。他总是悄悄地溜走了似的，\n你们好像一次也没有道别。,,,,,,
X008,NarrationLine,X009,,你的内心在尖叫，但是车厢里很温暖。身体很沉，你连手指头都动不了。,,,,,,
X009,NarrationLine,X010,,门关了，你知道他下车了。,,,,,,
X010,NarrationLine,X011,,车厢里开始下雪了，你的眼前一片漆黑。,BlackOn,0.6,,,,
X011,NarrationLine,X012,,世界无边无际。空无一物。,,,,,CGUnload,full
X012,NarrationLine,X013,,会不会是你梦到了一切、所有的一切？,,,,,,
X013,ControlLine,X014,,,BlackOff,0.5,Style,Utopia,,
X014,TitleLine,X015,,Day1|乌庇亚\n餐前酒,,,,,,
X015,NarrationLine,X016,警员,晚上好，老板。,HumanLoad,"0,Utopia_Police",,,,
X016,NarrationLine,X017,警员,月之节愉快。很高兴看到你还活着。,,,,,,
X017,ChooseLine,,,,,,,,,
X018,ChoiceLine,X020,,“……请问你是？”,,,,,,
X019,ChoiceLine,X039,,“暂时还死不了。”,,,,,,
X020,NarrationLine,X021,,笨蛋。很显然，\n有个人跟你套近乎，但你想不起他是谁了。\n一般来说，你就不能假装认识他吗？,,,,,,
X021,NarrationLine,X022,,你该不会连你失忆了这件事本身也忘掉了吧？,,,,,,
X022,ChooseLine,,,,,,,,,
X023,ChoiceLine,X025,,……请问你又是？,,,,,,
X024,ChoiceLine,X036,,（保持沉默）,,,,,,
X025,NarrationLine,X026,,完了，全完了，看起来永夜终于把你的脑子彻底烧坏了。,,,,,,
X026,NarrationLine,X027,,让我静一静，别再说蠢话了。\n另外，你可以把我理解成幻觉。\n所以最好不要在别人眼皮底下和我这个不存在的幻觉讲话，明白吗？,,,,,,
X027,ChooseLine,,,,,,,,,
X028,ChoiceLine,X031,,“好的。”,,,,,,
X029,ChoiceLine,X031,,“是你先向我搭话的。”,,,,,,
X030,ChoiceLine,X034,,（保持沉默）,,,,,,
X031,NarrationLine,X032,,你听到了摔门声和重重的脚步声，在你的脑海里。,,,,,,
X032,NarrationLine,X033,,就像你脑子里有一位任性的幻想朋友，\n还有一个属于他的幻想出来的房间，\n现在他气得走开了。,,,,,,
X033,NarrationLine,X046,,这样你就能专心应对眼前实实在在的客人了。,,,,,,
X034,NarrationLine,X035,,很好，你听从了劝告。,,,,,,
X035,NarrationLine,X046,,该专心应对眼前实实在在的客人了。,,,,,,
X036,NarrationLine,X037,,你没有看到第二位说话者，他源自于你的幻想。,,,,,,
X037,NarrationLine,X038,,听起来很疯狂，但至少他的提醒是对的。\n你不记得常识以外的任何东西，却被要求经营这家酒馆。,,,,,,
X038,NarrationLine,X046,,最好小心行事。,,,,,,
X039,NarrationLine,X040,,聪明的回答。顺着他的话说下去。,,,,,,
X040,NarrationLine,X041,,因为你根本就不认识这位客人，你不认识任何人。,,,,,,
X041,NarrationLine,X042,,上周发生了一些小事故，让你失去了常识之外的一切记忆。,,,,,,
X042,NarrationLine,X043,,他叫你“老板”，所以他应该是常客。,,,,,,
X043,NarrationLine,X044,,遗憾的是，其实你不是这间酒馆的老板，\n你只是一位工作是“假装老板”的员工而已。,,,,,,
X044,MindLine,X045,脑海中的声音,“真倒霉，如果发现自己失忆前是百万富翁该多好啊。”,,,,,,
X045,NarrationLine,X046,,嘘，别搭理他。,,,,,,
X046,NarrationLine,X047,警员,您还是这么爱开玩笑。,,,,,,
X047,NarrationLine,X048,警员,那么……,,,,,,
X048,NarrationLine,X049,,拜托，别点酒，你根本不记得什么配方！\n实在要点的话，至少别说“老规矩”，那种自我中心的客人最讨厌了！\n根本！没人！记得你们爱喝什么！,,,,,,
X049,NarrationLine,X050,,你幻想中的朋友一直如此吵闹吗？,,,,,,
X050,NarrationLine,X051,警员,老样子。,,,,,,
X051,NarrationLine,X052,警员,我要一杯【理性】。,,,,,,
X052,MindLine,X053,脑海中的声音,“哦，好极了！”,,,,,,
X053,MindChooseLine,,,,,,,,,
X054,ChoiceLine,X055,（脑海选项）,有什么好的？,,,,,,
X055,MindLine,X056,脑海中的声音,“你什么都不记得了，\n当然也包括‘老样子’配方对吧。”,,,,,,
X056,MindLine,X057,脑海中的声音,“……要不试着\n随便倒点什么端上去吧？\n偶尔也有这样随性的调酒师呢。\n会很有趣的。”,,,,,,
X057,MindChooseLine,,,,,,,,,
X058,ChoiceLine,X059,（脑海选项）,……,,,,,,
