lineId,dialogueLineType,toLine,personName,content,eventFore,eventForeArgs,eventMain,eventMainArgs,eventAfter,eventAfterArgs,,
A001,TitleLine,A002,,梦中\n弃我去者,,,,,BlackOn,0.01,,
A002,NarrationLine,A003,？？,“嗨，醒醒。”,,,,,CGLoad,"full,Sprites/CG/Train",,
A003,NarrationLine,A004,,他很轻地触碰你，好像并不是为了完全叫醒你。,BlackOff,0.5,,,,,,
A004,NarrationLine,A005,,你的眼皮很沉。,,,,,,,,
A005,NarrationLine,A006,,他错身从前排的座位和你之间挤过，然后拿上外套，\n你听见布料摩挲的声音。他戴上围巾，外面很冷。,,,,,,,,
A006,NarrationLine,A007,,而车厢里很暖和。你的身体很沉。你的内心在尖叫，\n必须拦下他，必须，必须。不能让他下车，,,,,,,,,
A007,NarrationLine,A008,,奇怪，是下车还是上车？你记不清了，因为你反反复复地做这个梦。\n有时他半途下车，有时你去站台送他。他总是悄悄地溜走了似的，\n你们好像一次也没有道别。,,,,,,,,
A008,NarrationLine,A009,,你的内心在尖叫，但是车厢里很温暖。身体很沉，你连手指头都动不了。,,,,,,,,
A009,NarrationLine,A010,,门关了，你知道他下车了。,,,,,,,,
A010,NarrationLine,A011,,车厢里开始下雪了，你的眼前一片漆黑。,,,,,,,,
A011,ControlLine,A012,,,BlackOn,0.5,,,,,,
A012,NarrationLine,A013,,世界无边无际。空无一物。,CGUnload,full,,,,,,
A013,NarrationLine,A014,,会不会是你梦到了一切、所有的一切？,Style,Utopia,,,,,,
A014,ControlLine,A015,,,BlackOn,0.5,,,,,,
A015,NarrationLine,A016,,,BlackOff,0.5,,,,,,
A016,TitleLine,A017,,Day1|乌托邦,,,,,,,,
A017,NarrationLine,A018,警员,晚上好，老板。,HumanLoad,"0,Utopia_Police",,,,,,
A018,NarrationLine,A019,警员,月之节愉快。很高兴看到你还活着。,,,,,,,,
A019,ChooseLine,,,,,,,,,,,
A020,ChoiceLine,A022,,“……请问你是？”,,,,,,,,
A021,ChoiceLine,A041,,“暂时还死不了。”,,,,,,,,
A022,NarrationLine,A023,,笨蛋。很显然，\n有个人跟你套近乎，但你想不起他是谁了。\n一般来说，你就不能假装认识他吗？,,,,,,,,
A023,NarrationLine,A024,,你该不会连你失忆了这件事本身也忘掉了吧？,,,,,,,,
A024,ChooseLine,,,,,,,,,,,
A025,ChoiceLine,A027,,……请问你又是？,,,,,,,,
A026,ChoiceLine,A038,,（保持沉默）,,,,,,,,
A027,NarrationLine,A028,,完了，全完了，看起来永夜终于把你的脑子彻底烧坏了。,,,,,,,,
A028,NarrationLine,A029,,让我静一静，别再说蠢话了。\n另外，你可以把我理解成幻觉。\n所以最好不要在别人眼皮底下和我这个不存在的幻觉讲话，明白吗？,,,,,,,,
A029,ChooseLine,,,,,,,,,,,
A030,ChoiceLine,A033,,“好的。”,,,,,,,,
A031,ChoiceLine,A033,,“是你先向我搭话的。”,,,,,,,,
A032,ChoiceLine,A036,,（保持沉默）,,,,,,,,
A033,NarrationLine,A034,,你听到了摔门声和重重的脚步声，在你的脑海里。,,,,,,,,
A034,NarrationLine,A035,,就像你脑子里有一位任性的幻想朋友，\n还有一个属于他的幻想出来的房间，\n现在他气得走开了。,,,,,,,,
A035,NarrationLine,A048,,这样你就能专心应对眼前实实在在的客人了。,,,,,,,,
A036,NarrationLine,A037,,很好，你听从了劝告。,,,,,,,,
A037,NarrationLine,A048,,该专心应对眼前实实在在的客人了。,,,,,,,,
A038,NarrationLine,A039,,你没有看到第二位说话者，他源自于你的幻想。,,,,,,,,
A039,NarrationLine,A040,,听起来很疯狂，但至少他的提醒是对的。\n你不记得常识以外的任何东西，却被要求经营这家酒馆。,,,,,,,,
A040,NarrationLine,A048,,最好小心行事。,,,,,,,,
A041,NarrationLine,A042,,聪明的回答。顺着他的话说下去。,,,,,,,,
A042,NarrationLine,A043,,因为你根本就不认识这位客人，你不认识任何人。,,,,,,,,
A043,NarrationLine,A044,,上周发生了一些小事故，让你失去了常识之外的一切记忆。,,,,,,,,
A044,NarrationLine,A045,,他叫你“老板”，所以他应该是常客。,,,,,,,,
A045,NarrationLine,A046,,遗憾的是，其实你不是这间酒馆的老板，\n你只是一位工作是“假装老板”的员工而已。,,,,,,,,
A046,MindLine,A047,脑海中的声音,“真倒霉，如果发现自己失忆前是百万富翁该多好啊。”,,,,,,,,
A047,NarrationLine,A048,,嘘，别搭理他。,,,,,,,,
A048,NarrationLine,A049,警员,您还是这么爱开玩笑。,,,,,,,,
A049,NarrationLine,A050,警员,那么……,,,,,,,,
A050,NarrationLine,A051,,拜托，别点酒，你根本不记得什么配方！\n实在要点的话，至少别说“老规矩”，那种自我中心的客人最讨厌了！\n根本！没人！记得你们爱喝什么！,,,,,,,,
A051,NarrationLine,A052,,你幻想中的朋友一直如此吵闹吗？,,,,,,,,
A052,NarrationLine,A053,警员,老样子。,,,,,,,,
A053,NarrationLine,A054,警员,我要一杯【理性】。,,,,,,,,
A054,MindLine,A055,脑海中的声音,“哦，好极了！”,,,,,,,,
A055,MindChooseLine,,,,,,,,,,,
A056,ChoiceLine,A057,（脑海选项）,有什么好的？,,,,,,,,
A057,MindLine,A058,脑海中的声音,“你什么都不记得了，\n当然也包括‘老样子’配方对吧。”,,,,,,,,
A058,MindLine,A059,脑海中的声音,“……要不试着\n随便倒点什么端上去吧？\n偶尔也有这样随性的调酒师呢。\n会很有趣的。”,,,,,,,,
A059,MindChooseLine,,,,,,,,,,,
A060,ChoiceLine,A061,（脑海选项）,……,,,,,,,,
A061,MindLine,A062,脑海中的声音,当然，你只是在“想着”\n和这位朋友对话而已，\n你很聪明，\n不是所有的交流都需要宣之于口。\n看起来你们进行得很顺利，只是，,,,,,,,,
A062,MindLine,A063,脑海中的声音,对于这位客人来说，\n你走神的时间有点太长了？\n他穿着看起来像是制服的套装，\n一丝多余的褶皱也没有。,,,,,,,,
A063,MindLine,A064,脑海中的声音,也许他刚刚下班，或是正要上班。\n你读不出更多可以作为线索的情绪。\n至于你走神的状况，他耐心地等着，甚至有些……超出通常范围的尊重？,,,,,,,,
A064,MindLine,A065,脑海中的声音,“好吧，总而言之呢——\n如果你需要帮助的话，\n失忆前的你还算是写了本配方的。\n不过那种东西应该叫谜语而不是调制指南吧……应该就放在店里来着？”,,,,,,,,
A065,MindChooseLine,,,,,,,,,,,
